Class,AvgCMC,Creatures,Lands,Instants,Sorcerys,Enchantments,Artifacts,Planeswalkers,Red,Blue,Black,White,Green
Aggro,1.794871795,20,21,11,2,6,0,0,0,55,0,0,0
Aggro,2.685714286,22,25,5,3,0,10,3,36,0,4,0,0
Aggro,2.128205128,31,21,6,0,3,0,0,0,28,0,0,24
Aggro,2.25,26,20,2,0,12,0,0,0,0,0,52,0
Aggro,2.794871795,14,21,14,11,0,0,0,28,34,8,0,0
Aggro,1.775,18,20,14,2,6,0,0,0,56,0,0,0
Aggro,2.297297297,22,23,0,4,10,0,1,4,0,0,50,0
Aggro,2.5,22,24,4,1,8,0,1,6,0,0,46,0
Aggro,2.525,12,20,13,15,0,0,0,31,29,6,0,0
Aggro,1.820512821,20,21,12,3,4,0,0,0,55,0,0,0
Aggro,2.769230769,14,21,16,9,0,0,0,27,35,8,0,0
Aggro,2.416666667,22,24,0,4,10,0,0,6,0,0,48,0
Aggro,2.324324324,23,23,0,4,10,0,0,4,0,0,49,0
Aggro,2.055555556,23,24,12,0,0,4,1,33,0,0,0,0
Aggro,2.777777778,26,24,10,0,0,0,0,30,0,0,0,27
Aggro,2.162162162,20,23,5,4,8,4,0,14,0,0,19,0
Aggro,2.297297297,30,23,7,0,0,4,0,44,0,0,0,0
Aggro,2.111111111,24,24,10,0,0,4,2,34,0,0,0,0
Aggro,1.75,18,20,14,4,4,0,0,0,58,0,0,0
Aggro,2.2,14,20,14,12,0,0,0,29,28,0,0,0
Aggro,1.948717949,22,21,10,4,0,3,0,10,0,0,0,33
Aggro,1.7,20,20,16,0,4,4,0,44,0,0,0,0
Aggro,2.527777778,25,24,4,0,0,0,7,0,0,12,0,40
Aggro,2.081081081,26,23,3,4,2,2,0,0,0,0,21,18
Aggro,1.95,26,20,11,0,3,4,0,44,0,0,0,0
Aggro,2.054054054,22,23,8,0,2,13,0,18,0,4,10,0
Aggro,2.105263158,20,22,12,0,6,0,0,46,0,0,0,0
Aggro,2.15,23,20,2,3,12,0,0,4,0,0,52,0
Aggro,2.055555556,23,24,12,0,0,4,1,33,0,0,0,0
Aggro,2.333333333,28,21,0,0,11,0,0,0,0,0,51,0
Aggro,2.135135135,25,23,11,0,0,4,1,42,0,0,0,0
Aggro,2.236842105,22,22,11,1,4,0,0,48,0,0,0,0
Aggro,2.5,12,20,13,15,0,0,0,31,29,6,0,0
Aggro,2.189189189,22,23,8,1,0,14,0,17,0,8,9,0
Aggro,1.75,20,20,13,3,4,0,0,0,56,0,0,0
Aggro,1.7,18,20,15,3,4,0,0,0,57,0,0,0
Aggro,1.825,28,20,8,1,0,7,0,0,0,38,0,0
Aggro,2.25,26,20,2,0,12,0,0,0,0,0,52,0
Aggro,2.108108108,26,23,8,0,2,8,1,38,0,0,0,0
Aggro,1.894736842,27,22,11,0,0,4,0,42,0,0,0,0
Aggro,2.054054054,22,23,8,0,2,13,0,18,0,4,10,0
Aggro,2,31,22,5,2,0,0,0,0,22,0,0,25
Aggro,2.210526316,22,22,12,0,4,0,0,48,0,0,0,0
Aggro,2.666666667,27,24,8,1,0,8,0,15,0,30,0,0
Aggro,2.166666667,23,24,8,0,0,13,0,15,0,8,8,0
Aggro,2.564102564,12,21,16,11,0,0,0,29,32,4,0,0
Aggro,1.725,27,20,6,0,4,9,0,0,39,0,0,0
Aggro,2.216216216,23,23,4,4,6,4,0,0,6,0,0,33
Aggro,2,26,22,8,0,4,0,0,0,24,18,0,0
Aggro,2.236842105,18,22,14,0,4,2,0,0,56,0,0,0
Aggro,2,29,23,8,0,0,4,0,33,0,0,0,0
Aggro,2.052631579,34,22,4,0,0,4,0,0,24,0,0,20
Aggro,2.135135135,18,23,8,3,4,4,0,43,0,0,0,0
Aggro,2.384615385,25,21,1,0,11,0,2,0,0,0,53,0
